invoice,shipping_code,shipping_type,qty,invoice_date,unit_price,customer_id,country,shipping_direction,transaction_type,revenue_amount,customer_status
C549532,POST,Postage,-1,2011-06-17,7.06,16217.00,United Kingdom,Refund,Return,-7.06,Registered
C549827,POST,Postage,-2,2011-06-20,3.00,12463.00,Belgium,Refund,Return,-6.00,Registered
C549945,POST,Postage,-1,2011-06-21,5.95,18270.00,United Kingdom,Refund,Return,-5.95,Registered
C550147,POST,Postage,-3,2011-06-22,18.00,12637.00,France,Refund,Return,-54.00,Registered
C550365,POST,Postage,-1,2011-06-24,11.00,12731.00,France,Refund,Return,-11.00,Registered
C550540,POST,Postage,-1,2011-06-29,3.82,14339.00,United Kingdom,Refund,Return,-3.82,Registered
C550787,POST,Postage,-1,2011-06-30,21.78,17450.00,United Kingdom,Refund,Return,-21.78,Registered
C550787,POST,Postage,-1,2011-06-30,3.96,17450.00,United Kingdom,Refund,Return,-3.96,Registered
C551685,POST,Postage,-1,2011-07-18,8142.75,16029.00,United Kingdom,Refund,Return,-8142.75,Registered
C552317,POST,Postage,-2,2011-07-22,18.00,12700.00,France,Refund,Return,-36.00,Registered
C552744,POST,Postage,-1,2011-07-27,3.15,16297.00,United Kingdom,Refund,Return,-3.15,Registered
C553033,POST,Postage,-1,2011-07-29,3.50,13883.00,United Kingdom,Refund,Return,-3.50,Registered
C553370,POST,Postage,-1,2011-08-15,19.29,,United Kingdom,Refund,Return,-19.29,Guest/Unknown
C553372,POST,Postage,-1,2011-08-15,35.65,,United Kingdom,Refund,Return,-35.65,Guest/Unknown
C553373,POST,Postage,-1,2011-08-15,16.85,,United Kingdom,Refund,Return,-16.85,Guest/Unknown
C553376,POST,Postage,-1,2011-08-15,18.75,,United Kingdom,Refund,Return,-18.75,Guest/Unknown
C553378,POST,Postage,-1,2011-08-15,27.42,,United Kingdom,Refund,Return,-27.42,Guest/Unknown
C553407,POST,Postage,-1,2011-08-16,40.00,15768.00,United Kingdom,Refund,Return,-40.00,Registered
C553414,POST,Postage,-1,2011-08-16,18.00,12600.00,Germany,Refund,Return,-18.00,Registered
C553510,POST,Postage,-1,2011-08-17,1.00,14342.00,United Kingdom,Refund,Return,-1.00,Registered
C553669,POST,Postage,-1,2011-08-18,3.71,15128.00,United Kingdom,Refund,Return,-3.71,Registered
C554002,POST,Postage,-1,2011-08-22,6.50,13692.00,United Kingdom,Refund,Return,-6.50,Registered
C554010,POST,Postage,-1,2011-08-22,75.00,17940.00,United Kingdom,Refund,Return,-75.00,Registered
C555163,POST,Postage,-2,2011-08-31,18.00,12473.00,Germany,Refund,Return,-36.00,Registered
C556281,POST,Postage,-1,2011-09-20,4.05,14040.00,United Kingdom,Refund,Return,-4.05,Registered
C556324,POST,Postage,-1,2011-09-20,5.00,14287.00,United Kingdom,Refund,Return,-5.00,Registered
C556807,POST,Postage,-1,2011-09-22,14.95,,United Kingdom,Refund,Return,-14.95,Guest/Unknown
C556919,POST,Postage,-1,2011-09-23,2.17,17511.00,United Kingdom,Refund,Return,-2.17,Registered
C557638,POST,Postage,-1,2011-09-27,545.58,17450.00,United Kingdom,Refund,Return,-545.58,Registered
C557663,C2,Carriage,-1,2011-09-27,15.00,,EIRE,Refund,Return,-15.00,Guest/Unknown
C558364,POST,Postage,-1,2011-09-30,3.95,,United Kingdom,Refund,Return,-3.95,Guest/Unknown
C558905,POST,Postage,-1,2011-10-17,4.90,13826.00,United Kingdom,Refund,Return,-4.90,Registered
C559681,POST,Postage,-1,2011-10-20,50.00,12717.00,Greece,Refund,Return,-50.00,Registered
C559882,POST,Postage,-1,2011-10-23,7.62,16156.00,United Kingdom,Refund,Return,-7.62,Registered
C560386,POST,Postage,-1,2011-10-26,9.72,,United Kingdom,Refund,Return,-9.72,Guest/Unknown
C561011,POST,Postage,-1,2011-10-30,3.15,17612.00,United Kingdom,Refund,Return,-3.15,Registered
C561117,POST,Postage,-3,2011-10-31,40.00,13520.00,Switzerland,Refund,Return,-120.00,Registered
C562657,POST,Postage,-1,2011-11-16,4.41,13588.00,United Kingdom,Refund,Return,-4.41,Registered
C562687,POST,Postage,-1,2011-11-16,10.34,15157.00,United Kingdom,Refund,Return,-10.34,Registered
C563446,POST,Postage,-1,2011-11-20,4.41,15205.00,United Kingdom,Refund,Return,-4.41,Registered
C564183,POST,Postage,-1,2011-11-22,14.95,,United Kingdom,Refund,Return,-14.95,Guest/Unknown
C564331,POST,Postage,-1,2011-11-23,18.00,12569.00,Germany,Refund,Return,-18.00,Registered
C564435,POST,Postage,-1,2011-11-23,4.41,17676.00,United Kingdom,Refund,Return,-4.41,Registered
C564905,POST,Postage,-1,2011-11-25,87.40,17450.00,United Kingdom,Refund,Return,-87.40,Registered
C564905,POST,Postage,-1,2011-11-25,79.68,17450.00,United Kingdom,Refund,Return,-79.68,Registered
C565229,POST,Postage,-1,2011-11-27,200.00,17450.00,United Kingdom,Refund,Return,-200.00,Registered
C565925,POST,Postage,-1,2011-11-29,18.00,12471.00,Germany,Refund,Return,-18.00,Registered
C567289,POST,Postage,-1,2011-09-19,4.41,17612.00,United Kingdom,Refund,Return,-4.41,Registered
C567916,POST,Postage,-1,2011-09-22,18.00,12579.00,France,Refund,Return,-18.00,Registered
C568240,POST,Postage,-1,2011-09-26,4.50,17172.00,United Kingdom,Refund,Return,-4.50,Registered
C568410,POST,Postage,-1,2011-09-27,80.00,12748.00,United Kingdom,Refund,Return,-80.00,Registered
C568646,POST,Postage,-1,2011-09-28,3.38,13430.00,United Kingdom,Refund,Return,-3.38,Registered
C569115,POST,Postage,-1,2011-09-30,7.62,13426.00,United Kingdom,Refund,Return,-7.62,Registered
C569733,POST,Postage,-1,2011-10-18,18.00,12500.00,Germany,Refund,Return,-18.00,Registered
C570654,POST,Postage,-1,2011-10-24,14.95,,United Kingdom,Refund,Return,-14.95,Guest/Unknown
C570775,POST,Postage,-1,2011-10-24,18.00,12664.00,Finland,Refund,Return,-18.00,Registered
C571625,POST,Postage,-1,2011-10-30,4.41,16140.00,United Kingdom,Refund,Return,-4.41,Registered
C572187,POST,Postage,-1,2011-11-14,18.00,12403.00,Denmark,Refund,Return,-18.00,Registered
C572398,POST,Postage,-1,2011-11-14,11.85,,United Kingdom,Refund,Return,-11.85,Guest/Unknown
C572422,POST,Postage,-1,2011-11-14,35.65,,United Kingdom,Refund,Return,-35.65,Guest/Unknown
C572441,POST,Postage,-1,2011-11-14,20.47,,United Kingdom,Refund,Return,-20.47,Guest/Unknown
C572444,POST,Postage,-1,2011-11-14,15.53,,United Kingdom,Refund,Return,-15.53,Guest/Unknown
C572445,POST,Postage,-1,2011-11-14,31.60,,United Kingdom,Refund,Return,-31.60,Guest/Unknown
C572446,POST,Postage,-1,2011-11-14,70.21,,United Kingdom,Refund,Return,-70.21,Guest/Unknown
C572448,POST,Postage,-1,2011-11-14,69.72,,United Kingdom,Refund,Return,-69.72,Guest/Unknown
C572450,POST,Postage,-1,2011-11-14,29.28,,United Kingdom,Refund,Return,-29.28,Guest/Unknown
C572455,POST,Postage,-1,2011-11-14,30.53,,United Kingdom,Refund,Return,-30.53,Guest/Unknown
C572456,POST,Postage,-1,2011-11-14,22.56,,United Kingdom,Refund,Return,-22.56,Guest/Unknown
C572467,POST,Postage,-1,2011-11-15,42.05,,United Kingdom,Refund,Return,-42.05,Guest/Unknown
C572470,POST,Postage,-1,2011-11-15,26.00,,United Kingdom,Refund,Return,-26.00,Guest/Unknown
C573253,POST,Postage,-1,2011-11-17,3.95,17552.00,United Kingdom,Refund,Return,-3.95,Registered
C573257,POST,Postage,-1,2011-11-17,6.42,14297.00,United Kingdom,Refund,Return,-6.42,Registered
C574031,POST,Postage,-1,2011-11-21,5.50,13394.00,United Kingdom,Refund,Return,-5.50,Registered
C574344,POST,Postage,-1,2011-11-23,262.73,12415.00,Australia,Refund,Return,-262.73,Registered
C574447,POST,Postage,-2,2011-11-23,40.00,12704.00,Finland,Refund,Return,-80.00,Registered
C574865,POST,Postage,-1,2011-11-24,15.00,12408.00,Belgium,Refund,Return,-15.00,Registered
C574875,POST,Postage,-1,2011-11-24,4.41,16416.00,United Kingdom,Refund,Return,-4.41,Registered
C576402,POST,Postage,-1,2011-11-15,7.62,13026.00,United Kingdom,Refund,Return,-7.62,Registered
C576816,POST,Postage,-1,2011-11-16,18.00,12569.00,Germany,Refund,Return,-18.00,Registered
C576898,POST,Postage,-2,2011-11-17,65.00,17828.00,Malta,Refund,Return,-130.00,Registered
C577070,POST,Postage,-1,2011-11-17,40.00,12704.00,Finland,Refund,Return,-40.00,Registered
C577164,POST,Postage,-1,2011-11-18,4.41,16678.00,United Kingdom,Refund,Return,-4.41,Registered
C577353,POST,Postage,-1,2011-11-18,4.00,12781.00,Czech Republic,Refund,Return,-4.00,Registered
C577481,POST,Postage,-1,2011-11-20,18.00,12778.00,Netherlands,Refund,Return,-18.00,Registered
C577892,POST,Postage,-1,2011-11-22,3.25,16191.00,United Kingdom,Refund,Return,-3.25,Registered
C578090,POST,Postage,-2,2011-11-22,40.00,12483.00,Sweden,Refund,Return,-80.00,Registered
C578122,POST,Postage,-2,2011-11-23,1.00,12452.00,Switzerland,Refund,Return,-2.00,Registered
C578743,POST,Postage,-3,2011-11-25,18.00,12681.00,France,Refund,Return,-54.00,Registered
C578784,POST,Postage,-1,2011-11-25,7.60,13081.00,United Kingdom,Refund,Return,-7.60,Registered
C579018,POST,Postage,-1,2011-11-28,7.00,16678.00,United Kingdom,Refund,Return,-7.00,Registered
C579092,POST,Postage,-1,2011-11-28,4.41,16900.00,United Kingdom,Refund,Return,-4.41,Registered
C579192,POST,Postage,-4,2011-11-28,18.00,12657.00,France,Refund,Return,-72.00,Registered
C579366,POST,Postage,-1,2011-11-29,9.72,14205.00,United Kingdom,Refund,Return,-9.72,Registered
C579532,POST,Postage,-1,2011-11-30,18.00,12494.00,France,Refund,Return,-18.00,Registered
C580161,POST,Postage,-2,2011-12-02,18.00,12700.00,France,Refund,Return,-36.00,Registered
C580957,POST,Postage,-1,2011-12-06,4.50,12839.00,United Kingdom,Refund,Return,-4.50,Registered
536370,POST,Postage,3,2010-12-01,18.00,12583.00,France,Charge,Positive,54.00,Registered
536403,POST,Postage,1,2010-12-01,15.00,12791.00,Netherlands,Charge,Positive,15.00,Registered
536527,POST,Postage,1,2010-12-01,18.00,12662.00,Germany,Charge,Positive,18.00,Registered
536540,C2,Carriage,1,2010-12-01,50.00,14911.00,EIRE,Charge,Positive,50.00,Registered
536544,DOT,Dotcom Postage,1,2010-12-01,569.77,,United Kingdom,Charge,Positive,569.77,Guest/Unknown
536592,DOT,Dotcom Postage,1,2010-12-01,607.49,,United Kingdom,Charge,Positive,607.49,Guest/Unknown
536840,POST,Postage,1,2010-12-02,18.00,12738.00,Germany,Charge,Positive,18.00,Registered
536852,POST,Postage,1,2010-12-03,18.00,12686.00,France,Charge,Positive,18.00,Registered
536858,POST,Postage,2,2010-12-03,40.00,13520.00,Switzerland,Charge,Positive,80.00,Registered
536861,POST,Postage,3,2010-12-03,18.00,12427.00,Germany,Charge,Positive,54.00,Registered
536862,DOT,Dotcom Postage,1,2010-12-03,254.43,,United Kingdom,Charge,Positive,254.43,Guest/Unknown
536864,DOT,Dotcom Postage,1,2010-12-03,121.06,,United Kingdom,Charge,Positive,121.06,Guest/Unknown
536865,DOT,Dotcom Postage,1,2010-12-03,498.47,,United Kingdom,Charge,Positive,498.47,Guest/Unknown
536876,DOT,Dotcom Postage,1,2010-12-03,887.52,,United Kingdom,Charge,Positive,887.52,Guest/Unknown
536967,POST,Postage,1,2010-12-03,18.00,12600.00,Germany,Charge,Positive,18.00,Registered
536974,POST,Postage,2,2010-12-03,18.00,12682.00,France,Charge,Positive,36.00,Registered
536983,POST,Postage,1,2010-12-03,18.00,12712.00,Germany,Charge,Positive,18.00,Registered
536990,POST,Postage,1,2010-12-03,28.00,12793.00,Portugal,Charge,Positive,28.00,Registered
537022,POST,Postage,2,2010-12-03,28.00,12725.00,Italy,Charge,Positive,56.00,Registered
537026,POST,Postage,2,2010-12-03,18.00,12395.00,Belgium,Charge,Positive,36.00,Registered
537065,POST,Postage,9,2010-12-05,18.00,12567.00,France,Charge,Positive,162.00,Registered
537197,POST,Postage,3,2010-12-05,18.00,12647.00,Germany,Charge,Positive,54.00,Registered
537198,POST,Postage,1,2010-12-05,18.00,12647.00,Germany,Charge,Positive,18.00,Registered
537201,POST,Postage,6,2010-12-05,18.00,12472.00,Germany,Charge,Positive,108.00,Registered
537212,POST,Postage,4,2010-12-05,18.00,12720.00,Germany,Charge,Positive,72.00,Registered
537237,DOT,Dotcom Postage,1,2010-12-06,863.74,,United Kingdom,Charge,Positive,863.74,Guest/Unknown
537240,DOT,Dotcom Postage,1,2010-12-06,940.87,,United Kingdom,Charge,Positive,940.87,Guest/Unknown
537246,POST,Postage,1,2010-12-06,28.00,12808.00,Portugal,Charge,Positive,28.00,Registered
537250,POST,Postage,1,2010-12-06,18.00,12708.00,Germany,Charge,Positive,18.00,Registered
537368,C2,Carriage,1,2010-12-06,50.00,14911.00,EIRE,Charge,Positive,50.00,Registered
537378,C2,Carriage,1,2010-12-06,50.00,14911.00,EIRE,Charge,Positive,50.00,Registered
537434,DOT,Dotcom Postage,1,2010-12-06,950.99,,United Kingdom,Charge,Positive,950.99,Guest/Unknown
537463,POST,Postage,4,2010-12-07,18.00,12681.00,France,Charge,Positive,72.00,Registered
537468,POST,Postage,3,2010-12-07,18.00,12567.00,France,Charge,Positive,54.00,Registered
537594,POST,Postage,5,2010-12-07,18.00,12647.00,Germany,Charge,Positive,90.00,Registered
537638,DOT,Dotcom Postage,1,2010-12-07,836.14,,United Kingdom,Charge,Positive,836.14,Guest/Unknown
537641,DOT,Dotcom Postage,1,2010-12-07,229.74,,United Kingdom,Charge,Positive,229.74,Guest/Unknown
537642,DOT,Dotcom Postage,1,2010-12-07,448.00,,United Kingdom,Charge,Positive,448.00,Guest/Unknown
537643,DOT,Dotcom Postage,1,2010-12-07,593.15,,United Kingdom,Charge,Positive,593.15,Guest/Unknown
537645,DOT,Dotcom Postage,1,2010-12-07,607.96,,United Kingdom,Charge,Positive,607.96,Guest/Unknown
537666,DOT,Dotcom Postage,1,2010-12-07,701.95,,United Kingdom,Charge,Positive,701.95,Guest/Unknown
537673,POST,Postage,7,2010-12-08,18.00,12709.00,Germany,Charge,Positive,126.00,Registered
537693,POST,Postage,1,2010-12-08,18.00,12441.00,France,Charge,Positive,18.00,Registered
537818,POST,Postage,6,2010-12-08,28.00,12766.00,Portugal,Charge,Positive,168.00,Registered
537823,DOT,Dotcom Postage,1,2010-12-08,729.42,,United Kingdom,Charge,Positive,729.42,Guest/Unknown
537892,POST,Postage,1,2010-12-09,18.00,12481.00,Germany,Charge,Positive,18.00,Registered
537894,POST,Postage,2,2010-12-09,18.00,12621.00,Germany,Charge,Positive,36.00,Registered
537897,POST,Postage,1,2010-12-09,18.00,12683.00,France,Charge,Positive,18.00,Registered
537915,POST,Postage,1,2010-12-09,28.00,12797.00,Portugal,Charge,Positive,28.00,Registered
537963,C2,Carriage,1,2010-12-09,50.00,13369.00,United Kingdom,Charge,Positive,50.00,Registered
537967,POST,Postage,1,2010-12-09,18.00,12494.00,France,Charge,Positive,18.00,Registered
537995,POST,Postage,2,2010-12-09,18.00,12712.00,Germany,Charge,Positive,36.00,Registered
538002,C2,Carriage,1,2010-12-09,50.00,14932.00,Channel Islands,Charge,Positive,50.00,Registered
538003,POST,Postage,8,2010-12-09,18.00,12429.00,Denmark,Charge,Positive,144.00,Registered
538008,POST,Postage,5,2010-12-09,18.00,12683.00,France,Charge,Positive,90.00,Registered
538071,DOT,Dotcom Postage,1,2010-12-09,885.94,,United Kingdom,Charge,Positive,885.94,Guest/Unknown
538093,POST,Postage,5,2010-12-09,18.00,12682.00,France,Charge,Positive,90.00,Registered
538148,DOT,Dotcom Postage,1,2010-12-09,547.32,,United Kingdom,Charge,Positive,547.32,Guest/Unknown
538149,DOT,Dotcom Postage,1,2010-12-09,620.68,,United Kingdom,Charge,Positive,620.68,Guest/Unknown
538153,DOT,Dotcom Postage,1,2010-12-09,822.94,,United Kingdom,Charge,Positive,822.94,Guest/Unknown
538154,DOT,Dotcom Postage,1,2010-12-09,85.79,,United Kingdom,Charge,Positive,85.79,Guest/Unknown
538175,POST,Postage,21,2010-12-10,18.00,12471.00,Germany,Charge,Positive,378.00,Registered
538177,DOT,Dotcom Postage,1,2010-12-10,847.42,,United Kingdom,Charge,Positive,847.42,Guest/Unknown
538196,POST,Postage,8,2010-12-10,18.00,12731.00,France,Charge,Positive,144.00,Registered
538311,POST,Postage,2,2010-12-10,28.00,12785.00,Portugal,Charge,Positive,56.00,Registered
538349,DOT,Dotcom Postage,1,2010-12-10,907.47,,United Kingdom,Charge,Positive,907.47,Guest/Unknown
538524,DOT,Dotcom Postage,1,2010-12-13,641.86,,United Kingdom,Charge,Positive,641.86,Guest/Unknown
538525,POST,Postage,5,2010-12-13,28.00,12540.00,Spain,Charge,Positive,140.00,Registered
538566,DOT,Dotcom Postage,1,2010-12-13,584.59,,United Kingdom,Charge,Positive,584.59,Guest/Unknown
538685,POST,Postage,1,2010-12-14,15.00,15694.00,United Kingdom,Charge,Positive,15.00,Registered
538880,DOT,Dotcom Postage,1,2010-12-14,113.45,,United Kingdom,Charge,Positive,113.45,Guest/Unknown
538881,DOT,Dotcom Postage,1,2010-12-14,198.17,,United Kingdom,Charge,Positive,198.17,Guest/Unknown
538883,DOT,Dotcom Postage,1,2010-12-14,340.72,,United Kingdom,Charge,Positive,340.72,Guest/Unknown
538884,DOT,Dotcom Postage,1,2010-12-14,146.85,,United Kingdom,Charge,Positive,146.85,Guest/Unknown
539318,POST,Postage,6,2010-12-16,40.00,12348.00,Finland,Charge,Positive,240.00,Registered
539327,POST,Postage,1,2010-12-17,18.00,12600.00,Germany,Charge,Positive,18.00,Registered
539330,POST,Postage,3,2010-12-17,40.00,12370.00,Austria,Charge,Positive,120.00,Registered
539337,C2,Carriage,1,2010-12-17,50.00,,EIRE,Charge,Positive,50.00,Guest/Unknown
539353,POST,Postage,3,2010-12-17,28.00,12782.00,Portugal,Charge,Positive,84.00,Registered
539391,POST,Postage,2,2010-12-17,15.00,12417.00,Belgium,Charge,Positive,30.00,Registered
539395,POST,Postage,11,2010-12-17,18.00,12471.00,Germany,Charge,Positive,198.00,Registered
539403,POST,Postage,2,2010-12-17,18.00,12647.00,Germany,Charge,Positive,36.00,Registered
539405,POST,Postage,6,2010-12-17,18.00,12621.00,Germany,Charge,Positive,108.00,Registered
539407,POST,Postage,1,2010-12-17,18.00,12726.00,France,Charge,Positive,18.00,Registered
539408,POST,Postage,3,2010-12-17,18.00,12720.00,Germany,Charge,Positive,54.00,Registered
539421,C2,Carriage,1,2010-12-17,50.00,14016.00,EIRE,Charge,Positive,50.00,Registered
539434,DOT,Dotcom Postage,1,2010-12-17,510.79,,United Kingdom,Charge,Positive,510.79,Guest/Unknown
539435,POST,Postage,1,2010-12-17,18.00,12691.00,France,Charge,Positive,18.00,Registered
539436,DOT,Dotcom Postage,1,2010-12-17,565.37,,United Kingdom,Charge,Positive,565.37,Guest/Unknown
539437,DOT,Dotcom Postage,1,2010-12-17,803.55,,United Kingdom,Charge,Positive,803.55,Guest/Unknown
539446,POST,Postage,9,2010-12-17,18.00,12705.00,Germany,Charge,Positive,162.00,Registered
539447,POST,Postage,3,2010-12-17,18.00,12395.00,Belgium,Charge,Positive,54.00,Registered
539451,DOT,Dotcom Postage,1,2010-12-17,662.14,,United Kingdom,Charge,Positive,662.14,Guest/Unknown
539453,DOT,Dotcom Postage,1,2010-12-17,603.62,,United Kingdom,Charge,Positive,603.62,Guest/Unknown
539466,POST,Postage,4,2010-12-19,18.00,12668.00,Germany,Charge,Positive,72.00,Registered
539473,C2,Carriage,1,2010-12-19,50.00,14911.00,EIRE,Charge,Positive,50.00,Registered
539491,POST,Postage,1,2010-12-20,15.00,14646.00,Netherlands,Charge,Positive,15.00,Registered
539492,DOT,Dotcom Postage,1,2010-12-20,396.81,,United Kingdom,Charge,Positive,396.81,Guest/Unknown
539551,POST,Postage,1,2010-12-20,18.00,12721.00,France,Charge,Positive,18.00,Registered
539595,DOT,Dotcom Postage,1,2010-12-20,350.78,,United Kingdom,Charge,Positive,350.78,Guest/Unknown
539607,POST,Postage,5,2010-12-20,18.00,12681.00,France,Charge,Positive,90.00,Registered
539631,DOT,Dotcom Postage,1,2010-12-20,250.83,,United Kingdom,Charge,Positive,250.83,Guest/Unknown
539636,POST,Postage,6,2010-12-20,18.00,12481.00,Germany,Charge,Positive,108.00,Registered
539676,POST,Postage,3,2010-12-21,15.00,12423.00,Belgium,Charge,Positive,45.00,Registered
539688,C2,Carriage,1,2010-12-21,150.00,12678.00,France,Charge,Positive,150.00,Registered
539708,DOT,Dotcom Postage,1,2010-12-21,182.37,,United Kingdom,Charge,Positive,182.37,Guest/Unknown
539718,DOT,Dotcom Postage,1,2010-12-21,112.37,,United Kingdom,Charge,Positive,112.37,Guest/Unknown
539727,POST,Postage,1,2010-12-21,18.00,12678.00,France,Charge,Positive,18.00,Registered
539735,DOT,Dotcom Postage,1,2010-12-21,164.55,,United Kingdom,Charge,Positive,164.55,Guest/Unknown
539736,DOT,Dotcom Postage,1,2010-12-21,337.23,,United Kingdom,Charge,Positive,337.23,Guest/Unknown
539737,DOT,Dotcom Postage,1,2010-12-21,514.00,,United Kingdom,Charge,Positive,514.00,Guest/Unknown
539738,DOT,Dotcom Postage,1,2010-12-21,549.79,,United Kingdom,Charge,Positive,549.79,Guest/Unknown
539739,DOT,Dotcom Postage,1,2010-12-21,324.43,,United Kingdom,Charge,Positive,324.43,Guest/Unknown
539740,DOT,Dotcom Postage,1,2010-12-21,311.66,,United Kingdom,Charge,Positive,311.66,Guest/Unknown
539741,DOT,Dotcom Postage,1,2010-12-21,128.60,,United Kingdom,Charge,Positive,128.60,Guest/Unknown
539742,DOT,Dotcom Postage,1,2010-12-21,114.34,,United Kingdom,Charge,Positive,114.34,Guest/Unknown
539743,DOT,Dotcom Postage,1,2010-12-21,103.57,,United Kingdom,Charge,Positive,103.57,Guest/Unknown
539744,DOT,Dotcom Postage,1,2010-12-21,189.57,,United Kingdom,Charge,Positive,189.57,Guest/Unknown
539745,DOT,Dotcom Postage,1,2010-12-21,152.68,,United Kingdom,Charge,Positive,152.68,Guest/Unknown
539746,DOT,Dotcom Postage,1,2010-12-21,50.60,,United Kingdom,Charge,Positive,50.60,Guest/Unknown
539747,DOT,Dotcom Postage,1,2010-12-21,50.64,,United Kingdom,Charge,Positive,50.64,Guest/Unknown
539748,DOT,Dotcom Postage,1,2010-12-21,29.53,,United Kingdom,Charge,Positive,29.53,Guest/Unknown
539752,POST,Postage,3,2010-12-21,35.00,12515.00,Italy,Charge,Positive,105.00,Registered
539840,POST,Postage,3,2010-12-22,15.00,12383.00,Belgium,Charge,Positive,45.00,Registered
539946,POST,Postage,1,2010-12-23,18.00,13817.00,Germany,Charge,Positive,18.00,Registered
539957,POST,Postage,6,2010-12-23,18.00,12585.00,Germany,Charge,Positive,108.00,Registered
539958,DOT,Dotcom Postage,1,2010-12-23,627.47,,United Kingdom,Charge,Positive,627.47,Guest/Unknown
539984,C2,Carriage,1,2010-12-23,50.00,14911.00,EIRE,Charge,Positive,50.00,Registered
540026,DOT,Dotcom Postage,1,2011-01-13,469.70,,United Kingdom,Charge,Positive,469.70,Guest/Unknown
540040,POST,Postage,5,2011-01-13,40.00,12483.00,Sweden,Charge,Positive,200.00,Registered
540116,DOT,Dotcom Postage,1,2011-01-13,2.51,,United Kingdom,Charge,Positive,2.51,Guest/Unknown
540154,DOT,Dotcom Postage,1,2011-01-14,192.86,,United Kingdom,Charge,Positive,192.86,Guest/Unknown
540178,POST,Postage,3,2011-01-14,18.00,12681.00,France,Charge,Positive,54.00,Registered
540238,DOT,Dotcom Postage,1,2011-01-14,109.19,,United Kingdom,Charge,Positive,109.19,Guest/Unknown
540239,POST,Postage,4,2011-01-14,18.00,12682.00,France,Charge,Positive,72.00,Registered
