invoice,sku_code,description,qty,inventory_category,invoice_date,unit_price,customer_id,country,transaction_type,revenue_amount,customer_status
539736,m,Manual,1,Stock Correction,21-12-2010,2.55,NA,United Kingdom,Positive,2.55,Guest/Unknown
539856,M,Manual,1,Stock Correction,22-12-2010,1298.40,NA,United Kingdom,Positive,1298.40,Guest/Unknown
539988,M,Manual,18,Stock Correction,23-12-2010,0.20,18116,United Kingdom,Positive,3.60,Registered
540021,M,Manual,1,Stock Correction,13-01-2011,1.25,17841,United Kingdom,Positive,1.25,Registered
540073,M,Manual,6,Stock Correction,13-01-2011,1.65,16814,United Kingdom,Positive,9.90,Registered
540242,M,Manual,1,Stock Correction,14-01-2011,18.95,15046,United Kingdom,Positive,18.95,Registered
C540266,M,Manual,-1,Stock Correction,16-01-2011,458.29,NA,United Kingdom,Return,-458.29,Guest/Unknown
C540271,M,Manual,-1,Stock Correction,16-01-2011,1126.00,12503,Spain,Return,-1126.00,Registered
540278,M,Manual,1,Stock Correction,16-01-2011,1.65,15719,United Kingdom,Positive,1.65,Registered
C540307,M,Manual,-2,Stock Correction,16-01-2011,21.95,15823,United Kingdom,Return,-43.90,Registered
540566,M,Manual,1,Stock Correction,19-01-2011,6.70,17811,United Kingdom,Positive,6.70,Registered
540839,M,Manual,1,Stock Correction,21-01-2011,12.75,16791,United Kingdom,Positive,12.75,Registered
541133,M,Manual,1,Stock Correction,25-01-2011,2.50,NA,United Kingdom,Positive,2.50,Guest/Unknown
541265,M,Manual,2,Stock Correction,26-01-2011,1.25,17609,United Kingdom,Positive,2.50,Registered
C541284,M,Manual,-36,Stock Correction,26-01-2011,0.87,17744,United Kingdom,Return,-31.32,Registered
541485,M,Manual,12,Stock Correction,28-01-2011,0.20,18118,United Kingdom,Positive,2.40,Registered
541564,M,Manual,10,Stock Correction,31-01-2011,0.38,16904,United Kingdom,Positive,3.80,Registered
C541650,M,Manual,-1,Stock Correction,31-01-2011,544.40,NA,United Kingdom,Return,-544.40,Guest/Unknown
C541651,M,Manual,-1,Stock Correction,31-01-2011,1283.80,NA,United Kingdom,Return,-1283.80,Guest/Unknown
541658,M,Manual,1,Stock Correction,31-01-2011,2.55,15529,United Kingdom,Positive,2.55,Registered
541808,M,Manual,1,Stock Correction,15-02-2011,10.00,16210,United Kingdom,Positive,10.00,Registered
541983,M,Manual,1,Stock Correction,17-02-2011,15.00,15797,United Kingdom,Positive,15.00,Registered
C542348,M,Manual,-1,Stock Correction,21-02-2011,1715.85,12539,Spain,Return,-1715.85,Registered
C542376,M,Manual,-1,Stock Correction,21-02-2011,4.65,13777,United Kingdom,Return,-4.65,Registered
C542376,M,Manual,-2,Stock Correction,21-02-2011,2.55,13777,United Kingdom,Return,-5.10,Registered
542398,M,Manual,1,Stock Correction,22-02-2011,4.00,13174,United Kingdom,Positive,4.00,Registered
542717,M,Manual,1,Stock Correction,24-02-2011,2.95,17580,United Kingdom,Positive,2.95,Registered
C542916,M,Manual,-1,Stock Correction,25-02-2011,4.00,15940,United Kingdom,Return,-4.00,Registered
543017,M,Manual,1,Stock Correction,27-02-2011,15.00,13199,United Kingdom,Positive,15.00,Registered
543134,M,Manual,1,Stock Correction,28-02-2011,15.00,15885,United Kingdom,Positive,15.00,Registered
543543,M,Manual,1,Stock Correction,17-03-2011,2.95,17843,United Kingdom,Positive,2.95,Registered
543543,M,Manual,24,Stock Correction,17-03-2011,0.20,17843,United Kingdom,Positive,4.80,Registered
C543624,M,Manual,-200,Stock Correction,17-03-2011,0.41,12931,United Kingdom,Return,-82.00,Registered
C543743,M,Manual,-1,Stock Correction,18-03-2011,4.50,12505,Italy,Return,-4.50,Registered
C543749,M,Manual,-1,Stock Correction,18-03-2011,71.46,13672,United Kingdom,Return,-71.46,Registered
C543789,M,Manual,-1,Stock Correction,18-03-2011,856.48,17450,United Kingdom,Return,-856.48,Registered
C543789,M,Manual,-1,Stock Correction,18-03-2011,190.80,17450,United Kingdom,Return,-190.80,Registered
C543835,M,Manual,-8,Stock Correction,20-03-2011,1.95,12963,United Kingdom,Return,-15.60,Registered
C543841,M,Manual,-1,Stock Correction,20-03-2011,208.16,17095,United Kingdom,Return,-208.16,Registered
C544047,M,Manual,-1,Stock Correction,21-03-2011,1435.79,NA,United Kingdom,Return,-1435.79,Guest/Unknown
C544054,M,Manual,-1,Stock Correction,21-03-2011,869.55,NA,United Kingdom,Return,-869.55,Guest/Unknown
544087,M,Manual,1,Stock Correction,21-03-2011,3.75,17530,United Kingdom,Positive,3.75,Registered
544087,M,Manual,2,Stock Correction,21-03-2011,0.42,17530,United Kingdom,Positive,0.84,Registered
544407,M,Manual,1,Stock Correction,23-03-2011,15.00,14606,United Kingdom,Positive,15.00,Registered
C544437,M,Manual,-1,Stock Correction,23-03-2011,82.50,16027,United Kingdom,Return,-82.50,Registered
544464,M,Manual,4,Stock Correction,24-03-2011,0.85,17323,United Kingdom,Positive,3.40,Registered
C544577,M,Manual,-1,Stock Correction,24-03-2011,320.69,12365,Cyprus,Return,-320.69,Registered
544578,M,Manual,1,Stock Correction,24-03-2011,320.69,12365,Cyprus,Positive,320.69,Registered
C544580,S,Samples,-1,Display Stock,24-03-2011,5.74,NA,United Kingdom,Return,-5.74,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,11.08,NA,United Kingdom,Return,-11.08,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,5.79,NA,United Kingdom,Return,-5.79,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,6.70,NA,United Kingdom,Return,-6.70,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,8.74,NA,United Kingdom,Return,-8.74,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,9.74,NA,United Kingdom,Return,-9.74,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,9.99,NA,United Kingdom,Return,-9.99,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,20.98,NA,United Kingdom,Return,-20.98,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,7.69,NA,United Kingdom,Return,-7.69,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,5.44,NA,United Kingdom,Return,-5.44,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,7.00,NA,United Kingdom,Return,-7.00,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,10.00,NA,United Kingdom,Return,-10.00,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,19.50,NA,United Kingdom,Return,-19.50,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,20.55,NA,United Kingdom,Return,-20.55,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,29.99,NA,United Kingdom,Return,-29.99,Guest/Unknown
C544580,S,Samples,-1,Display Stock,24-03-2011,9.74,NA,United Kingdom,Return,-9.74,Guest/Unknown
C544581,S,Samples,-1,Display Stock,24-03-2011,12.94,NA,United Kingdom,Return,-12.94,Guest/Unknown
C544581,S,Samples,-1,Display Stock,24-03-2011,92.00,NA,United Kingdom,Return,-92.00,Guest/Unknown
C544581,S,Samples,-1,Display Stock,24-03-2011,107.99,NA,United Kingdom,Return,-107.99,Guest/Unknown
C544581,S,Samples,-1,Display Stock,24-03-2011,55.00,NA,United Kingdom,Return,-55.00,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,128.56,NA,United Kingdom,Return,-128.56,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,39.50,NA,United Kingdom,Return,-39.50,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,37.49,NA,United Kingdom,Return,-37.49,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,31.98,NA,United Kingdom,Return,-31.98,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,2.80,NA,United Kingdom,Return,-2.80,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,4.59,NA,United Kingdom,Return,-4.59,Guest/Unknown
C544583,S,Samples,-1,Display Stock,24-03-2011,95.00,NA,United Kingdom,Return,-95.00,Guest/Unknown
C544671,S,Samples,-1,Display Stock,25-03-2011,21.90,NA,United Kingdom,Return,-21.90,Guest/Unknown
544673,M,Manual,25,Stock Correction,25-03-2011,0.42,13421,United Kingdom,Positive,10.50,Registered
C544814,M,Manual,-1,Stock Correction,28-03-2011,30.19,15590,United Kingdom,Return,-30.19,Registered
544819,M,Manual,6,Stock Correction,28-03-2011,5.00,12748,United Kingdom,Positive,30.00,Registered
545160,M,Manual,1,Stock Correction,31-03-2011,48.00,NA,United Kingdom,Positive,48.00,Guest/Unknown
545176,M,Manual,1,Stock Correction,31-03-2011,764.12,NA,United Kingdom,Positive,764.12,Guest/Unknown
545182,M,Manual,17,Stock Correction,31-03-2011,0.20,14046,United Kingdom,Positive,3.40,Registered
C545329,M,Manual,-1,Stock Correction,13-04-2011,280.05,12352,Norway,Return,-280.05,Registered
C545329,M,Manual,-1,Stock Correction,13-04-2011,183.75,12352,Norway,Return,-183.75,Registered
C545330,M,Manual,-1,Stock Correction,13-04-2011,376.50,12352,Norway,Return,-376.50,Registered
545332,M,Manual,1,Stock Correction,13-04-2011,376.50,12352,Norway,Positive,376.50,Registered
545332,M,Manual,1,Stock Correction,13-04-2011,280.05,12352,Norway,Positive,280.05,Registered
545332,M,Manual,1,Stock Correction,13-04-2011,183.75,12352,Norway,Positive,183.75,Registered
545336,M,Manual,2,Stock Correction,13-04-2011,275.60,12428,Finland,Positive,551.20,Registered
545595,M,Manual,1,Stock Correction,15-04-2011,0.85,14570,United Kingdom,Positive,0.85,Registered
C545677,M,Manual,-2,Stock Correction,17-04-2011,10.65,14543,United Kingdom,Return,-21.30,Registered
C545677,M,Manual,-1,Stock Correction,17-04-2011,12.75,14543,United Kingdom,Return,-12.75,Registered
C545739,M,Manual,-1,Stock Correction,18-04-2011,45.57,12754,Japan,Return,-45.57,Registered
C545884,M,Manual,-1,Stock Correction,18-04-2011,537.83,NA,United Kingdom,Return,-537.83,Guest/Unknown
C545886,M,Manual,-1,Stock Correction,18-04-2011,222.59,NA,United Kingdom,Return,-222.59,Guest/Unknown
545889,M,Manual,1,Stock Correction,18-04-2011,45.00,15291,United Kingdom,Positive,45.00,Registered
C545891,M,Manual,-1,Stock Correction,18-04-2011,16.05,12754,Japan,Return,-16.05,Registered
C545892,M,Manual,-1,Stock Correction,18-04-2011,17.55,12755,Japan,Return,-17.55,Registered
545901,M,Manual,2,Stock Correction,18-04-2011,1.25,15834,United Kingdom,Positive,2.50,Registered
545995,M,Manual,6,Stock Correction,18-04-2011,2.10,15023,United Kingdom,Positive,12.60,Registered
546035,M,Manual,1,Stock Correction,19-04-2011,7.95,12924,United Kingdom,Positive,7.95,Registered
546117,M,Manual,12,Stock Correction,19-04-2011,1.00,16771,United Kingdom,Positive,12.00,Registered
C546325,M,Manual,-1,Stock Correction,20-04-2011,1687.17,14911,EIRE,Return,-1687.17,Registered
C546327,M,Manual,-1,Stock Correction,20-04-2011,1687.17,14911,EIRE,Return,-1687.17,Registered
546328,M,Manual,1,Stock Correction,20-04-2011,1687.17,14911,EIRE,Positive,1687.17,Registered
546329,M,Manual,1,Stock Correction,20-04-2011,1687.17,14911,EIRE,Positive,1687.17,Registered
546374,M,Manual,1,Stock Correction,21-04-2011,10.00,17194,United Kingdom,Positive,10.00,Registered
546418,M,Manual,24,Stock Correction,21-04-2011,0.42,17315,United Kingdom,Positive,10.08,Registered
546426,M,Manual,1,Stock Correction,21-04-2011,2.00,13708,United Kingdom,Positive,2.00,Registered
546543,M,Manual,1,Stock Correction,26-04-2011,0.85,17841,United Kingdom,Positive,0.85,Registered
C546557,M,Manual,-1,Stock Correction,26-04-2011,2583.76,NA,Hong Kong,Return,-2583.76,Guest/Unknown
546558,M,Manual,1,Stock Correction,26-04-2011,2583.76,NA,Hong Kong,Positive,2583.76,Guest/Unknown
546742,M,Manual,12,Stock Correction,27-04-2011,0.42,12849,United Kingdom,Positive,5.04,Registered
546742,M,Manual,6,Stock Correction,27-04-2011,2.10,12849,United Kingdom,Positive,12.60,Registered
C546859,M,Manual,-102,Stock Correction,27-04-2011,5.45,17603,United Kingdom,Return,-555.90,Registered
546866,M,Manual,2,Stock Correction,28-04-2011,2.50,14462,United Kingdom,Positive,5.00,Registered
C546870,M,Manual,-2,Stock Correction,28-04-2011,2.50,14462,United Kingdom,Return,-5.00,Registered
C546879,M,Manual,-96,Stock Correction,28-04-2011,0.91,16422,United Kingdom,Return,-87.36,Registered
C546905,M,Manual,-48,Stock Correction,13-05-2011,0.45,15061,United Kingdom,Return,-21.60,Registered
C546907,M,Manual,-25,Stock Correction,13-05-2011,0.67,16422,United Kingdom,Return,-16.75,Registered
546933,M,Manual,1,Stock Correction,13-05-2011,498.79,NA,United Kingdom,Positive,498.79,Guest/Unknown
C546948,S,Samples,-1,Display Stock,13-05-2011,50.99,NA,United Kingdom,Return,-50.99,Guest/Unknown
C546948,S,Samples,-1,Display Stock,13-05-2011,65.85,NA,United Kingdom,Return,-65.85,Guest/Unknown
546950,M,Manual,4,Stock Correction,13-05-2011,0.50,16511,United Kingdom,Positive,2.00,Registered
C546975,M,Manual,-1,Stock Correction,13-05-2011,19.05,NA,United Kingdom,Return,-19.05,Guest/Unknown
C547054,M,Manual,-1,Stock Correction,15-05-2011,6.95,16444,United Kingdom,Return,-6.95,Registered
547810,M,Manual,1,Stock Correction,22-05-2011,0.85,NA,United Kingdom,Positive,0.85,Guest/Unknown
547873,M,Manual,1,Stock Correction,22-05-2011,14.95,13240,United Kingdom,Positive,14.95,Registered
C547899,M,Manual,-1,Stock Correction,23-05-2011,1486.12,NA,United Kingdom,Return,-1486.12,Guest/Unknown
C547905,M,Manual,-1,Stock Correction,23-05-2011,416.75,NA,United Kingdom,Return,-416.75,Guest/Unknown
547906,M,Manual,2,Stock Correction,23-05-2011,0.50,14410,United Kingdom,Positive,1.00,Registered
C547908,M,Manual,-1,Stock Correction,23-05-2011,646.46,NA,United Kingdom,Return,-646.46,Guest/Unknown
C547913,M,Manual,-1,Stock Correction,23-05-2011,325.00,NA,United Kingdom,Return,-325.00,Guest/Unknown
C547915,M,Manual,-1,Stock Correction,23-05-2011,165.29,NA,United Kingdom,Return,-165.29,Guest/Unknown
548203,M,Manual,1,Stock Correction,24-05-2011,238.12,NA,United Kingdom,Positive,238.12,Guest/Unknown
548327,M,Manual,1,Stock Correction,25-05-2011,1.65,16788,United Kingdom,Positive,1.65,Registered
C548454,M,Manual,-1,Stock Correction,26-05-2011,5.70,16422,United Kingdom,Return,-5.70,Registered
C548454,M,Manual,-1,Stock Correction,26-05-2011,7.88,16422,United Kingdom,Return,-7.88,Registered
C548454,M,Manual,-1,Stock Correction,26-05-2011,0.22,16422,United Kingdom,Return,-0.22,Registered
C548454,M,Manual,-1,Stock Correction,26-05-2011,57.60,16422,United Kingdom,Return,-57.60,Registered
C548456,M,Manual,-1,Stock Correction,26-05-2011,57.60,16422,United Kingdom,Return,-57.60,Registered
548461,M,Manual,2,Stock Correction,26-05-2011,0.50,14527,United Kingdom,Positive,1.00,Registered
C548469,M,Manual,-1,Stock Correction,26-05-2011,12.75,14543,United Kingdom,Return,-12.75,Registered
C548469,M,Manual,-2,Stock Correction,26-05-2011,10.95,14543,United Kingdom,Return,-21.90,Registered
548515,M,Manual,3,Stock Correction,27-05-2011,0.65,NA,United Kingdom,Positive,1.95,Guest/Unknown
C548543,M,Manual,-12,Stock Correction,27-05-2011,3.75,14525,United Kingdom,Return,-45.00,Registered
548568,M,Manual,1,Stock Correction,29-05-2011,12.75,14543,United Kingdom,Positive,12.75,Registered
548568,M,Manual,2,Stock Correction,29-05-2011,10.95,14543,United Kingdom,Positive,21.90,Registered
548621,M,Manual,3,Stock Correction,29-05-2011,0.65,16960,United Kingdom,Positive,1.95,Registered
548631,M,Manual,1,Stock Correction,29-05-2011,1.00,13184,United Kingdom,Positive,1.00,Registered
548813,M,Manual,1,Stock Correction,13-06-2011,162.60,12744,Singapore,Positive,162.60,Registered
548813,M,Manual,1,Stock Correction,13-06-2011,2382.92,12744,Singapore,Positive,2382.92,Registered
548813,M,Manual,1,Stock Correction,13-06-2011,239.30,12744,Singapore,Positive,239.30,Registered
548813,M,Manual,1,Stock Correction,13-06-2011,1252.95,12744,Singapore,Positive,1252.95,Registered
548820,M,Manual,1,Stock Correction,13-06-2011,2053.07,12744,Singapore,Positive,2053.07,Registered
C548830,M,Manual,-1,Stock Correction,13-06-2011,162.60,12744,Singapore,Return,-162.60,Registered
C548830,M,Manual,-1,Stock Correction,13-06-2011,2382.92,12744,Singapore,Return,-2382.92,Registered
C548830,M,Manual,-1,Stock Correction,13-06-2011,239.30,12744,Singapore,Return,-239.30,Registered
C548830,M,Manual,-1,Stock Correction,13-06-2011,1252.95,12744,Singapore,Return,-1252.95,Registered
C548834,M,Manual,-1,Stock Correction,13-06-2011,2053.07,12744,Singapore,Return,-2053.07,Registered
548860,M,Manual,1,Stock Correction,13-06-2011,2.00,13263,United Kingdom,Positive,2.00,Registered
548913,M,Manual,1,Stock Correction,14-06-2011,1136.30,12669,France,Positive,1136.30,Registered
C548914,M,Manual,-1,Stock Correction,14-06-2011,1136.30,12669,France,Return,-1136.30,Registered
549245,M,Manual,2,Stock Correction,15-06-2011,0.85,15005,United Kingdom,Positive,1.70,Registered
549468,M,Manual,1,Stock Correction,17-06-2011,1867.86,17940,United Kingdom,Positive,1867.86,Registered
549684,S,Samples,1,Display Stock,20-06-2011,30.00,NA,United Kingdom,Positive,30.00,Guest/Unknown
549730,M,Manual,1,Stock Correction,20-06-2011,1.50,15867,United Kingdom,Positive,1.50,Registered
549739,M,Manual,1,Stock Correction,20-06-2011,308.82,15935,United Kingdom,Positive,308.82,Registered
C549930,M,Manual,-1,Stock Correction,21-06-2011,15.05,16454,United Kingdom,Return,-15.05,Registered
C549931,M,Manual,-1,Stock Correction,21-06-2011,97.35,NA,United Kingdom,Return,-97.35,Guest/Unknown
549981,M,Manual,6,Stock Correction,21-06-2011,0.39,16348,United Kingdom,Positive,2.34,Registered
549989,M,Manual,1,Stock Correction,21-06-2011,2.55,13221,United Kingdom,Positive,2.55,Registered
C550009,M,Manual,-1,Stock Correction,21-06-2011,57.60,16422,United Kingdom,Return,-57.60,Registered
550354,M,Manual,1,Stock Correction,24-06-2011,222.75,13811,Germany,Positive,222.75,Registered
C550355,M,Manual,-1,Stock Correction,24-06-2011,222.75,13811,Germany,Return,-222.75,Registered
550469,M,Manual,18,Stock Correction,26-06-2011,0.10,16399,United Kingdom,Positive,1.80,Registered
550488,M,Manual,4,Stock Correction,27-06-2011,0.83,16729,United Kingdom,Positive,3.32,Registered
550513,M,Manual,1,Stock Correction,28-06-2011,7.95,16928,United Kingdom,Positive,7.95,Registered
C550529,M,Manual,-1,Stock Correction,28-06-2011,158.21,18102,United Kingdom,Return,-158.21,Registered
550633,M,Manual,1,Stock Correction,29-06-2011,3.00,17449,United Kingdom,Positive,3.00,Registered
C550933,M,Manual,-1,Stock Correction,13-07-2011,678.03,NA,United Kingdom,Return,-678.03,Guest/Unknown
C550935,M,Manual,-1,Stock Correction,13-07-2011,194.97,NA,United Kingdom,Return,-194.97,Guest/Unknown
550957,M,Manual,1,Stock Correction,13-07-2011,1.95,18283,United Kingdom,Positive,1.95,Registered
551016,M,Manual,2,Stock Correction,14-07-2011,1.65,17975,United Kingdom,Positive,3.30,Registered
C551179,M,Manual,-15,Stock Correction,15-07-2011,0.24,16422,United Kingdom,Return,-3.60,Registered
551268,M,Manual,48,Stock Correction,15-07-2011,0.19,16965,United Kingdom,Positive,9.12,Registered
551270,M,Manual,1,Stock Correction,15-07-2011,2.55,15891,United Kingdom,Positive,2.55,Registered
551277,M,Manual,1,Stock Correction,15-07-2011,1.25,13637,United Kingdom,Positive,1.25,Registered
C551386,M,Manual,-1,Stock Correction,17-07-2011,1.01,16422,United Kingdom,Return,-1.01,Registered
551419,M,Manual,1,Stock Correction,17-07-2011,400.00,12748,United Kingdom,Positive,400.00,Registered
C551526,M,Manual,-1,Stock Correction,18-07-2011,1.95,16401,United Kingdom,Return,-1.95,Registered
C551551,M,Manual,-1,Stock Correction,18-07-2011,0.29,17841,United Kingdom,Return,-0.29,Registered
C551699,M,Manual,-1,Stock Correction,18-07-2011,6930.00,16029,United Kingdom,Return,-6930.00,Registered
551714,M,Manual,1,Stock Correction,18-07-2011,25.95,16806,United Kingdom,Positive,25.95,Registered
551982,M,Manual,3,Stock Correction,19-07-2011,2.10,15023,United Kingdom,Positive,6.30,Registered
C552203,M,Manual,-1,Stock Correction,21-07-2011,189.44,NA,United Kingdom,Return,-189.44,Guest/Unknown
552259,M,Manual,1,Stock Correction,21-07-2011,1.00,15796,United Kingdom,Positive,1.00,Registered
C552343,M,Manual,-1,Stock Correction,24-07-2011,125.00,15521,United Kingdom,Return,-125.00,Registered
C552455,M,Manual,-1,Stock Correction,24-07-2011,587.08,NA,United Kingdom,Return,-587.08,Guest/Unknown
C552459,M,Manual,-1,Stock Correction,24-07-2011,598.59,NA,United Kingdom,Return,-598.59,Guest/Unknown
552549,M,Manual,1,Stock Correction,25-07-2011,334.71,15674,United Kingdom,Positive,334.71,Registered
C552553,M,Manual,-1,Stock Correction,25-07-2011,334.71,15674,United Kingdom,Return,-334.71,Registered
C552863,M,Manual,-1,Stock Correction,28-07-2011,5.10,13012,United Kingdom,Return,-5.10,Registered
C552876,M,Manual,-1,Stock Correction,28-07-2011,929.90,13235,United Kingdom,Return,-929.90,Registered
C552995,M,Manual,-1350,Stock Correction,28-07-2011,0.16,18133,United Kingdom,Return,-216.00,Registered
553002,M,Manual,2,Stock Correction,28-07-2011,1.95,13263,United Kingdom,Positive,3.90,Registered
553018,M,Manual,1,Stock Correction,29-07-2011,557.72,12757,Portugal,Positive,557.72,Registered
C553019,M,Manual,-1,Stock Correction,29-07-2011,557.72,12757,Portugal,Return,-557.72,Registered
553035,M,Manual,1,Stock Correction,29-07-2011,1.45,17337,United Kingdom,Positive,1.45,Registered
553189,M,Manual,2,Stock Correction,14-08-2011,1.65,15033,United Kingdom,Positive,3.30,Registered
553357,M,Manual,2,Stock Correction,15-08-2011,15.00,12684,France,Positive,30.00,Registered
C553370,M,Manual,-1,Stock Correction,15-08-2011,260.70,NA,United Kingdom,Return,-260.70,Guest/Unknown
C553372,M,Manual,-1,Stock Correction,15-08-2011,293.08,NA,United Kingdom,Return,-293.08,Guest/Unknown
C553373,M,Manual,-1,Stock Correction,15-08-2011,233.37,NA,United Kingdom,Return,-233.37,Guest/Unknown
C553376,M,Manual,-1,Stock Correction,15-08-2011,273.79,NA,United Kingdom,Return,-273.79,Guest/Unknown
C553378,M,Manual,-1,Stock Correction,15-08-2011,269.70,NA,United Kingdom,Return,-269.70,Guest/Unknown
C553513,S,Samples,-1,Display Stock,17-08-2011,9.99,NA,United Kingdom,Return,-9.99,Guest/Unknown
C553513,S,Samples,-1,Display Stock,17-08-2011,103.58,NA,United Kingdom,Return,-103.58,Guest/Unknown
553521,M,Manual,1,Stock Correction,17-08-2011,452.45,NA,United Kingdom,Positive,452.45,Guest/Unknown
C553531,S,Samples,-1,Display Stock,17-08-2011,2.98,NA,United Kingdom,Return,-2.98,Guest/Unknown
C553531,S,Samples,-1,Display Stock,17-08-2011,5.00,NA,United Kingdom,Return,-5.00,Guest/Unknown
